鍵值	繁體中文	简体中文	日文	英文	泰文	葡语	西语	德语	俄语	法语	韓文
（この場合のチケットにはボーナス効果が反映されません）	1. You can get all kinds of items after completing the event stage. You can confirm them by pressing the "Reward" button on the right→"Stage drop."
2. The number of item drops depends on your performance rating. The better you do in the stage, the more items you will receive.
3. You can earn addirional event items by using specific characters and weapons to challenge the stage.
4. Players gain half of the items from Skip Dive and the items gained will scale with the evaluation and the bonus points in the previous manual clear.
5. You can redeem your "Event Coupon" for various items in the Store.
6. As long as you enter a stage before the event expires, you can still earn coupons even if you clear the stage after the expiration time. However, as you won't receive coupon bonus for it.	1.หลังจากผ่านด่านกิจกรรม จะได้รับไอเทมต่าง ๆ โดยกดยืนยันได้ที่ปุ่ม "รางวัล" ทางด้านขวา→ "ของดรอปด่าน"
2.จำนวนไอเทมที่ดรอปขึ้นอยู่กับคะแนนการผ่านด่าน คะแนนยิ่งดี จำนวนไอเทมที่ได้รับยิ่งสูง
3.ใช้ตัวละคร อาวุธที่กำหนดพิเศษในการท้าดวลด่าน จะได้รับโบนัสเพิ่มเติมในจำนวนไอเทมกิจกรรม
4.จำนวนไอเทมที่ได้จากการกวาดล้างจะเป็นครึ่งหนึ่งของการผ่านด่านด้วยตนเอง และได้รับผลกระทบจากผลประเมินและโบนัสกิจกรรมที่ได้จากการผ่านด่านด้วยตนเองครั้งสุดท้าย
5.สามารถใช้ "คูปองกิจกรรม" แลกไอเทมต่าง ๆ ในร้านค้า
6.เพียงเข้าสู่ด่านก่อนเวลากิจกรรมจะสิ้นสุด ถึงแม้จะผ่านด่านหลังจากกิจกรรมจบลงแล้วยังสามารถได้รับคูปองแลกเปลี่ยนแต่จะไม่ได้เอฟเฟกต์โบนัสของคูปองแลกเปลี่ยน	1. Você pode ganhar todos os tipos de itens depois de concluir o estágio do evento. Você pode confirmá-los pressionando o botão “Recompensa” à direita → “Espólio do estágio”. 
2. O número de espólios de itens depende da sua classificação de desempenho. Quanto melhor se sair no estágio, mais itens você recebe. 
3. Você pode ganhar itens de evento adicionais usando personagens e armas específicos para o desafio do estágio. 
4. Os jogadores ganham metade dos itens do Pular Dive e os itens ganhos aumentam com a avaliação e com o bônus de pontos da conclusão manual anterior. 
5. Você pode resgatar o seu “Cupom do Evento” para vários itens na Loja	1. Puedes conseguir todo tipo de objetos tras completar la etapa del evento. Puedes confirmarlos pulsando el botón ""Recompensa"" de la derecha→""Caída de la etapa"".
2. El número de gotas de objetos depende de tu puntuación de rendimiento. Cuanto mejor lo hagas en la etapa, más objetos recibirás.
3. Puedes ganar ítems de evento adicionales usando personajes y armas específicas para desafiar la etapa.
4. Los jugadores ganan la mitad de los ítems de Skip Dive y los ítems ganados escalarán con la evaluación y los puntos de bonificación en el manual anterior claro.
5. Puedes canjear tu ""Cupón de evento"" por varios artículos en la Tienda.
6. Siempre que entres en una etapa antes de que expire el evento, podrás seguir ganando cupones aunque salgas de la etapa después del tiempo de expiración. Sin embargo, no recibirás bonos de cupones por ello.	1. Nach Abschluss der Veranstaltungsstufe erhältst du alle möglichen Artikel. Du kannst sie bestätigen, indem du auf die Schaltfläche „Prämie“ auf der rechten Seite→ „Phasenfall“ klickst.
2. Die Anzahl der abgeworfenen Artikel hängt von deiner Leistungsbewertung ab. Je besser du in der Stufe abschneidest, desto mehr Artikel erhältst du.
3. Die Spieler erhalten einen Schadens- oder Ereigniscoupon-Bonus, wenn sie Stufen mit bestimmten Figuren oder Waffen spielen.
4. Die Spieler erhalten die Hälfte der Coupons von Skip Dive, der Coupongewinn kann auch mit der Bewertung skalieren und den Event-Coupons-Bonus im vorherigen Handbuch ausgleichen.
5. Du kannst deinen „Event-Coupon“ gegen verschiedene Artikel im Store einlösen.
6. Solange du eine Stufe betrittst, bevor das Event abläuft, kannst du immer noch Punkte sammeln, auch wenn du die Stufe nach dem Ablauf der Zeit räumst. Allerdings erhältst du dafür keinen Punktebonus.	1. Вы можете получить все виды предметов после завершения этапа события. Вы можете подтвердить их, нажав кнопку «Награда» справа→ «Бонус уровня».
2. Количество выпадающих предметов зависит от вашего рейтинга производительности. Чем лучше будет результативность уровня, тем больше предметов вы получите.
3. Вы можете заработать дополнительные ивентовые предметы, используя определенных персонажей и оружие на этапе Испытание.
4. Игроки получают половину купонов от "Пропуска" уровня, прирост купонов также может увеличиваться с оценкой и бонусом купонов события в соответствии с предыдущим полным прохождением.
5. Вы можете обменять свой «Купон события» на различные предметы в Магазине.
6. Войдя в событие до истечения срока действия события, вы все равно можете зарабатывать купоны, даже если вы пройдете уровень после истечения времени. Однако, вы не получите купонный бонус за это прохождение.	1. Vous pouvez obtenir tout type d'objets après avoir complété le stage d'événement. Vous pouvez les vérifier via « Récompense » - « Drop de stage ».
2. L'évaluation détermine le nombre d'objets droppés. Une note d'évaluation plus élevée vous fait gagner plus d'objets.
3. Vous obtiendrez des objets d'événement supplémentaires en utilisant les personnages ou armes désignés dans le stage.
4. Vous obtenez la moitié de la quantité d'objets via « Ignorer DiVE », le gain de coupons d'événement est déterminé par l'évaluation et les points bonus de la précédente complétion manuelle.
5. Vous pouvez échanger les « Coupons d'événement » contre de divers objets dans le magasin.	1.이벤트 스테이지 완료 후 여러 아이템 획득할 기회가 주어집니다,우측「보상」버튼→「스테이지 드랍」확인
2.아이템의 드랍률과 드랍 개수는 스테이지의 난이도 및 클리어 랭크에 따라 결정되며 난이도와 랭크가 높을수록 획득할 아이템의 개수와 확률이 높아집니다.
3.특정 캐릭터,무기를 사용하여 스테이지 도전할 시 추가 대미지 혹은 추가 이벤트 포인트를 획득할 수 있습니다.
4.소탕하여 획득한 포인트는 수동 스테이지 클리어 시 절반만 획득할 수 있습니다.
5.「이벤트 교환 쿠폰」사용하여 상점에서 여러 아이템을 교환할 수 있습니다.
STAGE_TIP_MISSION	1.此類活動關卡不需要消耗EP，可以無限制的挑戰
2.此類活動關卡不會有通關戰利品，但是達到指定條件後可以獲得活動任務獎勵，詳細請點擊右側的「任務」按鈕
3.達成任務後獲得的「活動兌換券」可以在商店交換各種道具	1.此类活动关卡不需要消耗活力，可以无限制的挑战
2.此类活动关卡不会有通关战利品，但是达到指定条件后可以获得活动任务奖励，详细请点击右侧的【任务】按钮
3.达成任务后获得的【活动兑换券】可以在商店交换各种道具	1.本イベントステージはEPを消費せず、
　何度でも挑戦することができます。
2.本イベントステージにクリア報酬はありませんが、
　ミッション達成でミッション報酬を獲得できます。
　詳細には右側の「ミッション」ボタンよりご確認ください。
3.ミッション達成により獲得する「イベントチケット」は、
　イベントショップ（「ショップ」→「イベント」）にて
　様々なアイテムと交換可能です。	1. This event stage doesn't require EP, so you can challenge it over and over again.
2. Though you won't receive any loot for clearing this stage, you can still earn event mission rewards by meeting specific conditions. For more details, click the "Mission" button.
3. The "Event Coupon" you get for clearing missions can be used to redeem for various items in the Store.	1.ด่านกิจกรรมนี้จะไม่เสีย EP สามารถท้าดวลอย่างไร้จำกัด
2.ด่านกิจกรรมนี้ไม่มีของดรอปผ่านด่าน แต่เมื่อบรรลุเงื่อนไขที่กำหนดสามารถรับรางวัลภารกิจกิจกรรม รายละเอียดกรุณาคลิกปุ่ม"ภารกิจ"ด้านขวา
3.หลังบรรลุภารกิจได้รับ"คูปองกิจกรรม"สามารถแลกไอเทมต่าง ๆ ในร้านค้า	1. Este estágio do evento não exige EP, logo, você pode desafiá-lo sempre que quiser. 
2. Embora não receba qualquer recompensa por terminar este estágio, você ainda pode ganhar recompensas de missão do evento cumprindo condições específicas. Para mais detalhes, clique no botão “Missão”. 
3. O “Cupom do Evento” que você ganha por terminar missões pode ser usado para resgatar vários itens na Loja.	1. Este nivel de evento no requiere EP, así que puedes desafiarlo las veces que quieras. 
2. Si bien no recibirás ningún botín por superar este nivel, puedes obtener recompensas de misiones de evento si cumples con determinadas condiciones. Para más detalles, haz clic en el botón "Misión". 
3. El "Cupón de Evento" que obtienes por superar las misiones puede utilizarse para canjearlo por varios objetos en la tienda.	1. Für diese Ereignisphase sind keine EP erforderlich, sodass du sie immer wieder herausfordern kannst.
2. Auch wenn du für das Räumen dieser Stufe keine Beute erhältst, kannst du dennoch Prämien für Event-Missionen erhalten, wenn du bestimmte Bedingungen erfüllst. Für weitere Informationen klicke bitte auf die Schaltfläche „Mission“.
3. Der „Event-Coupon“, den du für das Absolvieren von Missionen erhältst, kann für verschiedene Artikel im Laden eingelöst werden.	1. Этот этап события не требует ОЭ, поэтому вы можете проходить его многократно.
2. Хотя вы не сможете получить какую-либо добычу за прохождение этого этапа, вы все равно можете получить награды за миссии события, выполнив определенные условия. Для получения более подробной информации нажмите кнопку «Миссия».
3. «Купон события», который вы получаете за прохождение миссий, можно использовать для обмена различных предметов в Магазине.	1. Ces stages d’événement n’exigent pas de PE, vous pouvez donc les défier à plusieurs reprises.
2. Bien que vous ne puissiez pas recevoir de butins pour avoir complétant le stage, vous pouvez quand même gagner les récompenses de la mission d’événement en remplissant des conditions spécifiques. Pour en savoir plus, veuillez appuyer sur le bouton « Mission ».
3. Les « coupons d’événement » que vous avez obtenus pour avoir terminant les missions peuvent être échangés contre de divers objets dans le magasin.	1.해당 유형의 이벤트 스테이지는 EP를 소모하지 않으며 무한으로 도전할 수 있습니다.
2.해당 유형의 이벤트 스테이지에서는 클리어 전리품이 없습니다,단 지정된 조건에 도달하면 이벤트 미션 보상을 획득할 수 있습니다.자세한 설명은 우측의 「미션」버튼을 클릭하여 확인할 수 있습니다.
3.미션 완료 후 획득한「이벤트 교환 쿠폰」은 상점에서 여러 아이템으로 교환할 수 있습니다.
STAGE_TIP_BOSSRUSH	1.BOSSRUSH為連續與各種BOSS戰鬥的模式，在此模式中所有玩家的戰力都會是一樣的，但已解鎖的技能可以發揮效果
2.玩家可以自行決定挑戰BOSS的順序，進入膠囊後就會傳送到對戰的場景，打倒BOSS後前往終點的閘門就會陸續開啟
3.活動結束後會依照最快的通關時間來排名發放名次獎勵，相同時間的玩家可以領取到同等的獎勵※本競速的時間計算含毫秒計算, 所以雖然UI上時間是相同, 排名還是會有前後的更動
4.最快通關時間會轉換為活動積分，時間越短積分越高，達到指定的積分就可以領取各種獎勵
5.使用不同的角色、武器通關時會獲得積分加成，建議多使用不同的角色或是武器來增加積分值
6.只要在活動時間結束前進入關卡，就算是活動時間結束後才通過關卡後也可以更新紀錄，因此排名仍然可能會有所異動。	1.首领挑战为连续与各种首领战斗的模式，在此模式中所有玩家的战力都会是一样的，但已解锁的技能可以发挥效果
2.玩家可以自行决定挑战首领的顺序，进入胶囊后就会传送到对战的场景，打倒首领后前往终点的闸门就会陆续开启
3.活动结束后会依照最快的通关时间来排名发放名次奖励，相同时间的玩家可以领取到同等的奖励
4.最快通关时间会转换为活动积分，时间越短积分越高，达到指定的积分就可以领取各种奖励
5.使用不同的角色、武器通关时会获得积分加成，建议多使用不同的角色或是武器来增加积分值
6.只要在活动时间结束前进入关卡，就算是活动时间结束后才通过关卡后也可以更新纪录，因此排名仍然可能会有所异动。	1.ボスラッシュとは、
　様々なボスとの連続バトルが楽しめるモードです。
　このモードでは全プレイヤーの戦力が同じレベルに
　自動調整されます。　（一部解放済みのキャラや
　武器のパッシブスキルは反映されます）
2.カプセルに入ると、ボスステージへ転送されます。
　どのボスに挑戦するかは、任意で選択することができ、
　ゴールのゲートは、
　ボスを倒すことによって解放されていきます。
3.イベント終了時、最速タイムのランキング順位によって
　報酬が配布されます。
　同じ達成時間のプレイヤーは同じ順位報酬がもらえます。
　※サーバー上ではミリ秒まで計算されていますが、
現在UIでは表示されていませんので、同じクリア時間でも、
　ランキングが上下する場合があります。
4.イベントスコアは、クリアタイムが短いほど高くなります。
　達成スコアによって、様々なスコア報酬が獲得できます。
5.色々なキャラ・武器でクリアするほど、
　スコアにボーナスが加算されますので、
　様々なキャラや武器を駆使して、ボスに挑戦しましょう。
6.開催期間中にステージを開始すれば、開催期間終了後に
　ステージをクリアしてもクリアタイムが更新されます。
　そのため、開催期間終了後にランキング順位が
　変わることがあります。	1. Boss Rush is a mode of play where you will take on all the bosses one after another. In this mode, all players will fight with the same combat power. Nevertheless, skills you've unlocked will come in useful.
2. Players can freely challenge the bosses in any sequence; simply enter the capsule and you will be teleported to the stage for the battle. When you defeat a boss, head to the last gateway to return to boss selection.
3. At the end of the event, players will be ranked based on their clearing time (shortest clearing time wins) and receive corresponding rewards. Players who have identical clearing times will receive identical rewards. *The actual time is calculated in milliseconds, but the millisecond unit cannot be displayed on the interface. Therefore, players with the same time displayed may have a different ranking.
4. The shortest clearing time will be converted to event points and the shorter the time, the higher the points you will receive. When you earn the required points, you'll be able to collect corresponding rewards.
5. When you clear the stage with different characters or weapons, you'll earn bonus points. It is therefore recommended that you try using different characters and weapons to earn the highest point possible.
6. As long as you enter a stage before the event expires, you can still update your record even if you clear the stage after the expiration time. And as such, the ranking may still be subjected to change in this case.	1. Boss Rush คือโหมดต่อสู้กับ BOSS ต่าง ๆ แบบต่อเนื่อง ภายในโหมดนี้พลังรบของผู้เล่นทั้งหมดจะเท่ากัน แต่สกิลที่ปลดล็อคแล้วยังสามารถใช้งานได้
2. ผู้เล่นสามารถกำหนดลำดับท้าดวล BOSS ด้วยตนเอง เมื่อเข้าสู่แคปซูลจะวาร์ปไปสนามรบ หลังจากเอาชนะ BOSS แล้ว ประตูไปยังปลายทางจะทยอยเปิดออก
3. หลังจากสิ้นสุดกิจกรรม จะจัดอันดับและแจกรางวัลตามเวลาการผ่านด่านที่เร็วที่สุด ผู้เล่นที่ทำเวลาเหมือนกันจะได้รับรางวัลระดับเดียวกัน ※ในความจริงจะคำนวณเวลาถึงตำแหน่งมิลลิวินาที แต่บนอินเตอร์เฟสไม่สามารถแสดงหน่วยของมิลลิวินาที ดังนั้นผู้เล่นที่แสดงเวลาเท่ากัน แต่อันดับอาจจะไม่เหมือนกัน
4. เวลาการผ่านด่านที่เร็วที่สุดจะเปลี่ยนเป็นแต้มกิจกรรม เวลายิ่งสั้นแต้มยิ่งสูง รับรางวัลต่าง ๆ ได้เมื่อบรรลุแต้มที่กำหนด
5. รับแต้มโบนัสเมื่อผ่านด่านด้วยตัวละครหรืออาวุธที่ต่างกัน แนะนำให้ใช้ตัวละครและอาวุธที่ต่างกันมาช่วยเพิ่มแต้ม
6.เพียงเข้าสู่ด่านก่อนเวลากิจกรรมจะสิ้นสุด ถึงแม้จะผ่านด่านหลังจากกิจกรรมจบลงแล้วยังสามารถอัพเดตสถิติ ดังนั้นลำดับอาจจะมีการเปลี่ยนแปลง	1. Adrenalina de Chefe é um modo de jogo em que você enfrenta todos os chefes um depois do outro. Neste modo, todos os jogadores lutarão com o mesmo poder de combate. Contudo, as habilidades que desbloqueou serão úteis. 
2. Os jogadores podem desafiar livremente os chefes em qualquer sequência. Simplesmente entre na cápsula e será teletransportado ao estágio para a batalha. Ao derrotar um chefe, vá até o último portal para voltar à seleção de chefes. 
3. Ao final do evento, os jogadores serão classificados com base em tempo de conclusão (tempos de conclusão mais rápidos vencem) e receberão as recompensas correspondentes. Os jogadores que possuam tempos de conclusão idênticos receberão recompensas idênticas. 
4. O tempo de conclusão mais rápido será convertido em pontos de evento e quanto mais rápido, mais pontos você recebe. Quando ganhar os pontos necessários, você poderá coletar as recompensas correspondentes. 
5. Quando concluir o estágio com personagens ou armas diferentes, você ganhará pontos bônus. Portanto, recomenda-se que tente usar personagens e armas diferentes para ganhar o máximo de pontos possíveis. 
6. Desde que entre em um estágio antes do evento acabar, você ainda pode atualizar o seu registro, mesmo se terminar o estágio depois de acabar o tempo. E assim, a classificação ainda pode estar sujeita a alteração neste caso.	1. Fiebre de Jefes es un modo de juego en el que te enfrentarás a todos los jefes uno tras otro. En este modo, todos los jugadores lucharán con el mismo poder de combate. No obstante, podrás usar las habilidades que hayas desbloqueado. 
2. Los jugadores pueden desafiar libremente a los jefes en cualquier order. Simplemente entra en la cápsula y serás teletransportado al nivel para la batalla. Cuando derrotes a un jefe, dirígete al último portal para volver a la selección de jefes. 
3. Al final del evento, los jugadores se clasificarán en función del tiempo en que hayan completado el desafío (gana el tiempo más corto) y recibirán las recompensas correspondientes. Los jugadores que tengan un tiempo de eliminación idéntico recibirán las mismas recompensas. 
4. El tiempo de compleción más corto se convertirá en puntos de evento. Cuanto más corto sea el tiempo, más puntos recibirás. Cuando consigas los puntos necesarios, obtendrás las recompensas correspondientes. 
5. Cuando completes el nivel con diferentes personajes o armas, ganarás puntos de bonificación. Por lo tanto, te recomendamos que pruebes diferentes personajes y armas para ganar el mayor número de puntos posible. 
6. Siempre que entres en un nivel antes de que termine un evento, podrás actualizar tu récord incluso si completas el nivel después de que termine el evento. En este caso, la clasificación puede seguir sufriendo cambios.	1. Boss Rush ist ein Spielmodus, in dem du es mit allen Bossen nacheinander aufnimmst. In diesem Modus kämpfen alle Spieler mit der gleichen Kampfkraft. Dennoch werden die freigeschalteten Fähigkeiten nützlich sein.
2. Die Spieler können die Endgegner in beliebiger Reihenfolge herausfordern. Betrete einfach die Kapsel und du wirst auf die Bühne teleportiert, auf der der Kampf stattfindet. Wenn du einen Boss besiegt hast, gehe zum letzten Tor, um zur Boss-Auswahl zurückzukehren.
3. Am Ende des Events werden die Spieler nach ihrer Abräumzeit eingestuft (die kürzeste Abräumzeit gewinnt) und erhalten entsprechende Prämien. Spieler mit der gleichen Abräumzeit erhalten die gleichen Prämien.
4. Die kürzeste Abräumzeit wird in Event-Punkten umgerechnet, und je kürzer die Zeit, desto mehr Punkte erhältst du. Wenn du die erforderlichen Punkte sammelst, kannst du die entsprechenden Prämien erhalten.
5. Wenn du die Stufe mit verschiedenen Figuren oder Waffen meisterst, erhältst du Bonuspunkte. Es wird daher empfohlen, verschiedene Figuren und Waffen zu verwenden, um die höchstmögliche Punktzahl zu erreichen.
6. Solange du eine Stufe betrittst, bevor das Ereignis abläuft, kannst du deinen Datensatz auch dann noch aktualisieren, wenn du die Stufe nach der Ablaufzeit verlässt. Daher kann sich die Rangfolge in diesem Fall noch ändern.	1. Натиск Босса - это особый режим, в котором вы сможете сразиться со всеми боссами одного за другим. В этом режиме все игроки будут сражаться с одинаковой боевой мощью. Тем не менее, навыки, которые вы разблокировали для своих персонажей или оружия пригодится.
2. Игроки могут свободно Испытание боссов в любой последовательности, просто войдя в капсулу, и вы будете телепортированы на сцену для битвы. Когда вы победите босса, направляйтесь к последним воротам, чтобы вернуться к выбору босса.
3. В конце события игроки будут ранжированы в соответствии с их временем прохождения (выигрыши за кратчайшее время прохождения) и получат соответствующие награды. Игроки, у которых одинаковое время очистки, получат одинаковые награды.
4. Самое короткое время очистки будет преобразовано в очки события, и чем короче время, тем больше очков вы получите. Когда вы заработаете необходимые баллы, вы сможете получить соответствующие награды.
5. Когда вы очищаете сцену с разными персонажами или оружием, вы зарабатываете бонусные очки. Поэтому рекомендуется попробовать использовать разных персонажей и оружие, чтобы заработать как можно больше очков.
6. Если вы вошли в этап до истечения срока действия события, вы все равно можете обновить свою запись, даже если вы очистили этап после истечения срока действия. Таким образом, рейтинг может быть изменен в этом случае	1. Boss rush est un mode spécial dans lequel vous pourrez affronter tous les boss l’un après l’autre. Dans ce mode, tous les joueurs se battront avec une même puissance de combat. Cependant, les techniques de personnage et d’arme que vous avez débloquées seront disponibles.
2. Vous pouvez défier librement les boss dans n’importe quel ordre en entrant simplement dans la capsule et vous serez téléporté sur la scène correspondante. Après avoir éliminé un boss, dirigez-vous vers la dernière passerelle pour revenir à la sélection des boss.
3. À la fin de l’événement, vous serez classé en fonction du temps de complétion (gagné avec moins de temps) et recevrez les récompenses correspondantes. Si vous passez autant de temps que d’autres joueurs, vous obtiendrez des récompenses identiques.
4. Le temps de complétion le plus court sera converti en points d’événement. Plus le temps est court, plus les points que vous recevrez est élevés. Lorsque vous recevrez un certain nombre de points, vous récupérerez les récompenses correspondantes.
5. Lorsque vous complétez le stage avec différents personnages ou armes, vous obtiendrez des points bonus. Il vaut donc mieux d’essayer différents personnages et armes pour gagner plus de points possibles.
6. Si vous entrez dans un stage avant l’expiration de l’événement, vous pouvez toujours mettre à jour votre enregistrement après avoir complété le stage. Et en tant que tel, le classement peut encore être soumis à des changements dans ce cas.	1.BOSS RUSH는 연속으로 여러 BOSS에 도전하는 모드로 해당 모드에서 모든 플레이어는 동일한 전투력으로 진행하지만 이미 활성화된 스킬의 효과는 적용됩니다.
2.플레이어가 자율적으로 도전하는 BOSS의 순서를 결정할 수 있으며 캡슐에 진입 후 필드로 텔레포트 됩니다.BOSS 물리친 후 게이트로 이동하면 다음 단계로 진행됩니다.
3.이벤트 종료 후 제일 빨리 클리어한 시간을 기준으로 랭킹 보상이 주어지며 동일 시간에 클리어한 플레이어는 동일 등급의 보상을 획득할 수 있습니다.
4.제일 빨리 클리어한 시간은 이벤트 포인트로 전환되며 시간이 짧을수록 포인트가 많아지며 지정된 포인트에 도달하면 여러 보상을 획득할 수 있습니다.
5.특정 캐릭터,무기를 사용하여 스테이지 도전할 시 추가 포인트를 획득할 수 있습니다.
6.이벤트 시간 종료 직전 스테이지 진입하거나 이벤트 종료 후 클리어 하더라도 기록은 갱신되며 이에 따른 랭킹이 변동될 수 있습니다.
STAGE_TIP_SPEEDRUN	1.競速模式為玩家之間比拚「通關時間」的活動模式
2.在此模式中所有玩家的戰力都會是一樣的，但已解鎖的技能可以發揮效果
3.活動結束後會依照最快的通關時間來排名發放名次獎勵，相同時間的玩家可以領取到同等的獎勵※本競速的時間計算含毫秒計算, 所以雖然UI上時間是相同, 排名還是會有前後的更動
4.最快通關時間會轉換為活動積分，時間越短積分越高，達到指定的積分就可以領取各種獎勵
5.使用不同的角色、武器通關時會獲得積分加成，建議多使用不同的角色或是武器來增加積分值
6.只要在活動時間結束前進入關卡，就算是活動時間結束後才通過關卡後也可以更新紀錄，因此排名仍然可能會有所異動。	1.竞速模式为玩家之间比拚【通关时间】的活动模式
2.在此模式中所有玩家的战力都会是一样的，但已解锁的技能可以发挥效果
3.活动结束后会依照最快的通关时间来排名发放名次奖励，相同时间的玩家可以领取到同等的奖励
4.最快通关时间会转换为活动积分，时间越短积分越高，达到指定的积分就可以领取各种奖励
5.使用不同的角色、武器通关时会获得积分加成，建议多使用不同的角色或是武器来增加积分值
6.只要在活动时间结束前进入关卡，就算是活动时间结束后才通过关卡后也可以更新纪录，因此排名仍然可能会有所异动。	1.タイムアタックとは、ほかのプレイヤー達と
　「最速クリアタイム」を競うモードです。
2.このモードでは全プレイヤーの戦力が同じレベルに
　自動調整されます。　（一部解放済みのキャラや
　武器のパッシブスキルは反映されます）
3.イベント終了時、最速タイムのランキング順位によって
　報酬が配布されます。
　同じ達成時間のプレイヤーは同じ順位報酬がもらえます。
　※サーバー上ではミリ秒まで計算されていますが、
　現在UIでは表示されていませんので、同じクリア時間でも、
　ランキングが上下する場合があります。
4.イベントスコアは、クリアタイムが短いほど高くなります。
　達成スコアによって、様々なスコア報酬が獲得できます。
5.色々なキャラ・武器でクリアするほど、
　スコアにボーナスが加算されますので、
　様々なキャラや武器を駆使して、ボスに挑戦しましょう。
6.開催期間中にステージを開始すれば、開催期間終了後に
　ステージをクリアしてもクリアタイムが更新されます。
　そのため、開催期間終了後にランキング順位が
　変わることがあります。	1. The Race mode is a special mode of play where players compete to clear the stage within the shortest time possible.
2. In this mode, all players will be competing at the same combat power. Nevertheless, skills you've unlocked will come in useful.
3. When the event ends, players will be ranked according to their clear times and players with the shortest clear times will receive corresponding rewards. Players who have identical clearing times will receive identical rewards. *The actual time is calculated in milliseconds, but the millisecond unit cannot be displayed on the interface. Therefore, players with the same time displayed may have a different ranking.
4. The shortest clearing time will be converted to event points and the shorter the time, the higher the points you will receive. When you earn the required points, you'll be able to collect corresponding rewards.
5. When you clear the stage with different characters or weapons, you'll earn bonus points. It is therefore recommended that you try using different characters and weapons to earn the highest point possible.
6. As long as you enter a stage before the event expires, you can still update your record even if you clear the stage after the expiration time. And as such, the ranking may still be subjected to change in this case.	1. โหมดแข่งความเร็ว คือโหมดกิจกรรมแข่งขัน "เวลาการผ่านด่าน" ระหว่างผู้เล่น
2. ภายในโหมดนี้ พลังรบของผู้เล่นทุกคนจะเท่ากัน แต่สกิลที่ปลดล็อคแล้วยังสามารถใช้งานได้
3. หลังจากสิ้นสุดกิจกรรมแล้ว จะจัดอันดับและแจกรางวัลตามเวลาการผ่านด่านที่เร็วที่สุด ผู้เล่นที่ทำเวลาเหมือนกันจะได้รับรางวัลระดับเดียวกัน ※ในความจริงจะคำนวณเวลาถึงตำแหน่งมิลลิวินาที แต่บนอินเตอร์เฟสไม่สามารถแสดงหน่วยของมิลลิวินาที ดังนั้นผู้เล่นที่แสดงเวลาเท่ากัน แต่อันดับอาจจะไม่เหมือนกัน
4. เวลาการผ่านด่านที่เร็วที่สุดจะเปลี่ยนเป็นแต้มกิจกรรม เวลายิ่งสั้นแต้มยิ่งสูง รับรางวัลต่าง ๆ ได้เมื่อบรรลุแต้มที่กำหนด
5. รับแต้มโบนัสเมื่อผ่านด่านด้วยตัวละครหรืออาวุธที่ต่างกัน แนะนำให้ใช้ตัวละครและอาวุธที่ต่างกันมาช่วยเพิ่มแต้ม
6.เพียงเข้าสู่ด่านก่อนเวลากิจกรรมจะสิ้นสุด ถึงแม้จะผ่านด่านหลังจากกิจกรรมจบลงแล้วยังสามารถอัพเดตสถิติ ดังนั้นลำดับอาจจะมีการเปลี่ยนแปลง	1. O modo Corrida é um modo especial de jogo no qual os jogadores competem para terminar o estágio dentro do menor tempo possível. 
2. Neste modo, todos os jogadores competirão com o mesmo poder de combate. Contudo, as habilidades que desbloqueou serão úteis. 
3. Quando o evento acaba, os jogadores são classificados de acordo com seus tempos de conclusão e aqueles com os menores tempos de conclusão receberão recompensas correspondentes. Os jogadores que possuam tempos de conclusão idênticos receberão recompensas idênticas. 
4. O tempo de conclusão mais rápido será convertido em pontos de evento e quanto mais rápido, mais pontos você recebe. Quando ganhar os pontos necessários, você poderá coletar as recompensas correspondentes. 
5. Quando concluir o estágio com personagens ou armas diferentes, você ganhará pontos bônus. Portanto, recomenda-se que tente usar personagens e armas diferentes para ganhar o máximo de pontos possíveis. 
6. Desde que entre em um estágio antes do evento acabar, você ainda pode atualizar o seu registro, mesmo se terminar o estágio depois de acabar o tempo. E assim, a classificação ainda pode estar sujeita a alteração neste caso.	1. El modo Carrera es un modo de juego especial en el que los jugadores compiten para superar el nivel en el menor tiempo posible. 
2. En este modo, todos los jugadores competirán con la misma potencia de combate. No obstante, podrás usar las habilidades que hayas desbloqueado. 
3. Cuando el evento termine, los jugadores serán clasificados de acuerdo a sus tiempos de compleción. Los jugadores con los tiempos de compleción más cortos recibirán las recompensas correspondientes. Los jugadores que tengan un tiempo de eliminación idéntico recibirán las mismas recompensas. 
4. El tiempo de compleción más corto se convertirá en puntos de evento. Cuanto más corto sea el tiempo, más puntos recibirás. Cuando consigas los puntos necesarios, obtendrás las recompensas correspondientes.
5. Cuando completes el nivel con diferentes personajes o armas, ganarás puntos de bonificación. Por lo tanto, te recomendamos que pruebes diferentes personajes y armas para ganar el mayor número de puntos posible. 
6. Siempre que entres en un nivel antes de que termine un evento, podrás actualizar tu récord incluso si completas el nivel después de que termine el evento. En este caso, la clasificación puede seguir sufriendo cambios.	1. Der Rennmodus ist ein spezieller Spielmodus, bei dem die Spieler darum konkurrieren, die Bühne in der kurzmöglichsten Zeit zu verlassen.
2. In diesem Modus treten alle Spieler mit der gleichen Kampfkraft an. Dennoch werden die freigeschalteten Fähigkeiten nützlich sein.
3. Am Ende des Events werden die Spieler nach ihren Abräumzeiten eingestuft und die Spieler mit den kürzesten Abräumzeiten erhalten entsprechende Prämien. Spieler mit der gleichen Abräumzeit erhalten die gleichen Prämien.
